DATASET_NAME,NUMBER_OF_TRAINING_RELEASES,PERCENTAGE_TRAINING,PERCENTAGE_DEFECTIVE_TRAINING,PERCENTAGE_DEFECTIVE_TESTING,CLASSIFIER,BALANCING,FEATURE_SELECTION,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,ROC_AREA,KAPPA
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,NAIVE_BAYES,OVER_SAMPLING,NO_SELECTION,58.0,193.0,46.0,4.0,0.23107569721115537,0.9354838709677419,0.7314752328249426,0.06010556515398879
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,NAIVE_BAYES,OVER_SAMPLING,NO_SELECTION,54.0,32.0,288.0,65.0,0.627906976744186,0.453781512605042,0.790217962184874,0.38753290088742504
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,NAIVE_BAYES,OVER_SAMPLING,NO_SELECTION,38.0,30.0,301.0,70.0,0.5588235294117647,0.35185185185185186,0.790883406064675,0.29845308105343904
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,NAIVE_BAYES,OVER_SAMPLING,NO_SELECTION,73.0,20.0,117.0,230.0,0.7849462365591398,0.24092409240924093,0.4942665799426658,0.06686347364313466
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,NAIVE_BAYES,OVER_SAMPLING,NO_SELECTION,82.0,36.0,135.0,193.0,0.6949152542372882,0.29818181818181816,0.5498139287612972,0.07468879668049797
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,NAIVE_BAYES,OVER_SAMPLING,NO_SELECTION,203.0,37.0,98.0,114.0,0.8458333333333333,0.6403785488958991,0.7582895198037154,0.31476647524195805
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,NAIVE_BAYES,UNDER_SAMPLING,NO_SELECTION,56.0,195.0,44.0,6.0,0.22310756972111553,0.9032258064516129,0.7261438790660009,0.041021414192648493
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,NAIVE_BAYES,UNDER_SAMPLING,NO_SELECTION,62.0,47.0,273.0,57.0,0.5688073394495413,0.5210084033613446,0.8047400210084034,0.38427511800404596
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,NAIVE_BAYES,UNDER_SAMPLING,NO_SELECTION,40.0,30.0,301.0,68.0,0.5714285714285714,0.37037037037037035,0.7950374846145238,0.31734949700104714
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,NAIVE_BAYES,UNDER_SAMPLING,NO_SELECTION,54.0,14.0,123.0,249.0,0.7941176470588235,0.1782178217821782,0.4881597648815976,0.051724137931034524
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,NAIVE_BAYES,UNDER_SAMPLING,NO_SELECTION,114.0,55.0,116.0,161.0,0.6745562130177515,0.41454545454545455,0.5453163211057948,0.08316043930943917
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,NAIVE_BAYES,UNDER_SAMPLING,NO_SELECTION,195.0,35.0,100.0,122.0,0.8478260869565217,0.6151419558359621,0.7496903843906998,0.3003233948572329
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,NAIVE_BAYES,SMOTE,NO_SELECTION,58.0,177.0,62.0,4.0,0.24680851063829787,0.9354838709677419,0.7418005128897287,0.09585608311067591
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,NAIVE_BAYES,SMOTE,NO_SELECTION,59.0,35.0,285.0,60.0,0.6276595744680851,0.4957983193277311,0.8039128151260504,0.41372039080621353
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,NAIVE_BAYES,SMOTE,NO_SELECTION,41.0,31.0,300.0,67.0,0.5694444444444444,0.37962962962962965,0.7994712990936556,0.32214659355895886
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,NAIVE_BAYES,SMOTE,NO_SELECTION,84.0,23.0,114.0,219.0,0.7850467289719626,0.27722772277227725,0.49040013490400136,0.07855795358175119
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,NAIVE_BAYES,SMOTE,NO_SELECTION,102.0,45.0,126.0,173.0,0.6938775510204082,0.3709090909090909,0.5453056884635832,0.09439093906596382
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,NAIVE_BAYES,SMOTE,NO_SELECTION,164.0,32.0,103.0,153.0,0.8367346938775511,0.5173501577287066,0.7607664446781166,0.22294911348176777
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,RANDOM_FOREST,NO_SAMPLING,NO_SELECTION,47.0,43.0,196.0,15.0,0.5222222222222223,0.7580645161290323,0.8670535834795519,0.49531683626271955
bookkeeper,2,19.622778382299604,26.062846580406653,27.107061503416855,RANDOM_FOREST,NO_SAMPLING,NO_SELECTION,36.0,45.0,275.0,83.0,0.4444444444444444,0.3025210084033613,0.6980567226890756,0.17994220834184627
bookkeeper,3,35.54588320638375,26.53061224489796,24.60136674259681,RANDOM_FOREST,NO_SAMPLING,NO_SELECTION,47.0,72.0,259.0,61.0,0.3949579831932773,0.4351851851851852,0.7366006489873559,0.21044233187737493
bookkeeper,4,51.4689880304679,25.933756166314307,68.86363636363636,RANDOM_FOREST,NO_SAMPLING,NO_SELECTION,97.0,11.0,126.0,206.0,0.8981481481481481,0.3201320132013201,0.5637060056370601,0.17255962285080426
bookkeeper,5,67.42836416394631,36.094674556213015,61.65919282511211,RANDOM_FOREST,NO_SAMPLING,NO_SELECTION,272.0,31.0,140.0,3.0,0.8976897689768977,0.9890909090909091,0.9164486975013291,0.833614957536922
bookkeeper,6,83.60536815379035,41.0412147505423,70.13274336283186,RANDOM_FOREST,NO_SAMPLING,NO_SELECTION,275.0,2.0,133.0,42.0,0.9927797833935018,0.8675078864353313,0.9361140320130856,0.7858511898352535
bookkeeper,1,8.705114254624592,32.916666666666664,20.59800664451827,RANDOM_FOREST,OVER_SAMPLING,NO_SELECTION,54.0,79.0,160.0,8.0,0.40601503759398494,0.8709677419354839,0.8429612633283844,0.37949908774257746
