DATASET_NAME,NUMBER_OF_TRAINING_RELEASES,PERCENTAGE_TRAINING,PERCENTAGE_DEFECTIVE_TRAINING,PERCENTAGE_DEFECTIVE_TESTING,CLASSIFIER,BALANCING,FEATURE_SELECTION,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,ROC_AREA,KAPPA
openjpa,5,22.648179425743354,5.0294831772459245,1.8013856812933025,IBK,NO_SAMPLING,BEST_FIRST,14.0,31.0,2095.0,25.0,0.3111111111111111,0.358974358974359,0.7840232047663844,0.3202130641996088
openjpa,6,31.152048391531483,4.148278905560459,2.4367816091954024,IBK,NO_SAMPLING,BEST_FIRST,9.0,17.0,2105.0,44.0,0.34615384615384615,0.16981132075471697,0.6826418650970071,0.21526122470707354
openjpa,7,39.695196197808244,3.7799327132396594,3.0990173847316704,IBK,NO_SAMPLING,BEST_FIRST,18.0,8.0,1274.0,23.0,0.6923076923076923,0.43902439024390244,0.8949621399490126,0.5259105988972238
openjpa,8,44.89178679445382,3.7011112083296878,2.0841227737779464,IBK,NO_SAMPLING,BEST_FIRST,39.0,16.0,2568.0,16.0,0.7090909090909091,0.7090909090909091,0.8779904306220095,0.702898958626512
openjpa,9,55.25747279940296,3.3977822007392664,1.8313458262350937,IBK,NO_SAMPLING,BEST_FIRST,34.0,29.0,2276.0,9.0,0.5396825396825397,0.7906976744186046,0.8941229884477627,0.6335318519735499
openjpa,10,64.480144546133,3.1737329434697856,0.5662020905923345,IBK,NO_SAMPLING,BEST_FIRST,4.0,41.0,2242.0,9.0,0.08888888888888889,0.3076923076923077,0.7336837494524748,0.1302898528765596
openjpa,11,73.49856632232216,2.8537836682342883,1.108998732572877,IBK,NO_SAMPLING,BEST_FIRST,6.0,59.0,3062.0,29.0,0.09230769230769231,0.17142857142857143,0.6782487298027189,0.10712747146760772
openjpa,12,85.89496838053341,2.601975489299433,1.1417432470064048,IBK,NO_SAMPLING,BEST_FIRST,6.0,27.0,3523.0,35.0,0.18181818181818182,0.14634146341463414,0.6398385434558571,0.15354258862174144
openjpa,1,3.7943359912015397,2.691511387163561,6.940371456500489,IBK,OVER_SAMPLING,BEST_FIRST,16.0,35.0,917.0,55.0,0.3137254901960784,0.22535211267605634,0.5448721742218013,0.21685209758089202
openjpa,2,7.812561373188263,4.876822523881348,8.31858407079646,IBK,OVER_SAMPLING,BEST_FIRST,22.0,83.0,953.0,72.0,0.20952380952380953,0.23404255319148937,0.5434106218680687,0.14615122117681453
